,Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_AdjClose,BTC_Volume,ST_Open,ST_High,ST_Low,ST_Close,ST_AdjClose,ST_Volume,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),EU/US_Open,EU/US_High,EU/US_Low,EU/US_Close,EU/US_AdjClose,EU/US_Volume
79,2014-12-05,298.322021484375,308.66259765625,295.29791259765625,306.75946044921875,306.75946044921875,12357998,2072.780029296875,2079.469970703125,2070.81005859375,2075.3701171875,2075.3701171875,3419620000.0,1204.5,1194.0,768.372,766.17,974.278,971.047,1.2385741472244263,1.2392494678497314,1.2275059223175049,1.2386661767959595,1.2386661767959595,0.0
80,2014-12-06,306.68048095703125,308.0569763183594,301.94952392578125,305.0752868652344,305.0752868652344,5705592,,,,,,,,,,,,,,,,,,
81,2014-12-07,305.1168212890625,306.3269348144531,303.8461608886719,305.1289367675781,305.1289367675781,5280770,,,,,,,,,,,,,,,,,,
82,2014-12-08,305.023193359375,305.96337890625,293.8817443847656,293.9004211425781,293.9004211425781,15347328,2074.840087890625,2075.780029296875,2054.27001953125,2060.31005859375,2060.31005859375,3800990000.0,1195.25,1193.0,766.727,763.716,975.475,971.577,1.2296946048736572,1.2303906679153442,1.2247997522354126,1.2294074296951294,1.2294074296951294,0.0
83,2014-12-09,293.8890686035156,295.05645751953125,278.2087097167969,284.3456726074219,284.3456726074219,26572616,2056.550048828125,2060.60009765625,2034.1700439453125,2059.820068359375,2059.820068359375,3970150000.0,1206.5,1227.0,770.976,782.625,975.975,987.525,1.2314057350158691,1.2447998523712158,1.2293771505355835,1.2315119504928589,1.2315119504928589,0.0
84,2014-12-10,284.3343811035156,284.5707702636719,277.55828857421875,277.55828857421875,277.55828857421875,13164276,2058.860107421875,2058.860107421875,2024.260009765625,2026.1400146484375,2026.1400146484375,4114440000.0,1228.25,1229.0,783.823,783.202,991.884,990.091,1.238712191581726,1.2435954809188843,1.2362926006317139,1.2394952774047852,1.2394952774047852,0.0
85,2014-12-11,275.9355773925781,290.40985107421875,271.924072265625,282.8258056640625,282.8258056640625,26169047,2027.9200439453125,2055.530029296875,2027.9200439453125,2035.3299560546875,2035.3299560546875,3917950000.0,1219.5,1216.25,778.239,775.868,980.936,981.638,1.2480031251907349,1.2495938539505005,1.2374200820922852,1.2473959922790527,1.2473959922790527,0.0
86,2014-12-12,283.08966064453125,283.4977111816406,281.7998962402344,282.9389953613281,282.9389953613281,13635474,2030.3599853515625,2032.25,2002.3299560546875,2002.3299560546875,2002.3299560546875,4157650000.0,1223.5,1217.0,779.15,774.173,984.312,978.06,1.2391266822814941,1.2477073669433594,1.2386692762374878,1.2394952774047852,1.2394952774047852,0.0
87,2014-12-13,282.809814453125,282.809814453125,278.1605224609375,278.7929382324219,278.7929382324219,9370706,,,,,,,,,,,,,,,,,,
88,2014-12-14,278.2720642089844,283.1511535644531,277.22149658203125,282.1407165527344,282.1407165527344,9961646,,,,,,,,,,,,,,,,,,
89,2014-12-15,281.92327880859375,282.35552978515625,277.2112731933594,277.6308288574219,277.6308288574219,13879090,2005.030029296875,2018.68994140625,1982.260009765625,1989.6300048828125,1989.6300048828125,4361990000.0,1210.75,1209.25,772.408,772.437,974.525,971.988,1.2464786767959595,1.248000144958496,1.2417100667953491,1.2463544607162476,1.2463544607162476,0.0
90,2014-12-16,277.89453125,277.9770202636719,261.4822692871094,261.4822692871094,261.4822692871094,24676127,1986.7099609375,2016.8900146484375,1972.56005859375,1972.739990234375,1972.739990234375,4958680000.0,1199.25,1202.5,763.951,762.959,960.245,959.697,1.2443537712097168,1.2565702199935913,1.2436264753341675,1.2443537712097168,1.2443537712097168,0.0
91,2014-12-17,261.3167724609375,266.9923400878906,253.95004272460938,259.2007751464844,259.2007751464844,30451406,1973.77001953125,2016.75,1973.77001953125,2012.8900146484375,2012.8900146484375,4942370000.0,1199.0,1195.75,763.16,761.43,962.357,960.442,1.2513765096664429,1.2515957355499268,1.239009976387024,1.2512043714523315,1.2512043714523315,0.0
